Date,Losses
2023-04-11,500.0
2023-04-12,730.0
2023-04-13,540.0
2023-04-14,500.0
2023-04-15,460.0
2023-04-16,520.0
2023-04-17,590.0
2023-04-18,470.0
2023-04-19,620.0
2023-04-20,670.0
2023-04-21,630.0
2023-04-22,680.0
2023-04-23,690.0
2023-04-24,660.0
2023-04-25,690.0
2023-04-26,640.0
2023-04-27,510.0
2023-04-28,540.0
2023-04-29,580.0
2023-04-30,470.0
2023-05-01,450.0
2023-05-02,460.0
2023-05-03,520.0
2023-05-04,650.0
2023-05-05,620.0
2023-05-06,560.0
2023-05-07,660.0
2023-05-08,540.0
2023-05-09,650.0
2023-05-10,690.0
2023-05-11,610.0
2023-05-12,750.0
2023-05-13,590.0
2023-05-14,620.0
2023-05-15,580.0
2023-05-16,520.0
2023-05-17,610.0
2023-05-18,510.0
2023-05-19,660.0
2023-05-20,670.0
2023-05-21,730.0
2023-05-22,720.0
2023-05-23,480.0
2023-05-24,400.0
2023-05-25,500.0
2023-05-26,460.0
2023-05-27,480.0
2023-05-28,400.0
2023-05-29,430.0
2023-05-30,410.0
2023-05-31,470.0
2023-06-01,460.0
2023-06-02,540.0
2023-06-03,560.0
2023-06-04,470.0
2023-06-05,410.0
2023-06-06,800.0
2023-06-07,880.0
2023-06-08,730.0
2023-06-09,1010.0
2023-06-10,890.0
2023-06-11,980.0
2023-06-12,540.0
2023-06-13,470.0
2023-06-14,680.0
2023-06-15,580.0
2023-06-16,590.0
2023-06-17,670.0
2023-06-18,650.0
2023-06-19,630.0
2023-06-20,1010.0
2023-06-21,540.0
2023-06-22,650.0
2023-06-23,680.0
2023-06-24,580.0
2023-06-25,720.0
2023-06-26,950.0
2023-06-27,590.0
2023-06-28,930.0
2023-06-29,680.0
2023-06-30,560.0
2023-07-01,530.0
2023-07-02,790.0
2023-07-03,600.0
2023-07-04,770.0
2023-07-05,670.0
2023-07-06,600.0
2023-07-07,510.0
2023-07-08,630.0
2023-07-09,600.0
2023-07-10,440.0
2023-07-11,540.0
2023-07-12,510.0
2023-07-13,510.0
2023-07-14,550.0
2023-07-15,590.0
2023-07-16,500.0
2023-07-17,620.0
2023-07-18,710.0
2023-07-19,470.0
2023-07-20,530.0
2023-07-21,680.0
2023-07-22,640.0
2023-07-23,630.0
2023-07-24,660.0
2023-07-25,600.0
2023-07-26,460.0
2023-07-27,590.0
2023-07-28,560.0
2023-07-29,390.0
2023-07-30,480.0
2023-07-31,490.0
2023-08-01,500.0
2023-08-02,540.0
2023-08-03,620.0
2023-08-04,640.0
2023-08-05,620.0
2023-08-06,590.0
2023-08-07,540.0
2023-08-08,560.0
2023-08-09,820.0
2023-08-10,580.0
2023-08-11,580.0
2023-08-12,510.0
2023-08-13,560.0
2023-08-14,530.0
2023-08-15,540.0
2023-08-16,650.0
2023-08-17,480.0
2023-08-18,460.0
2023-08-19,500.0
2023-08-20,460.0
2023-08-21,460.0
2023-08-22,410.0
2023-08-23,480.0
2023-08-24,340.0
2023-08-25,470.0
2023-08-26,640.0
2023-08-27,550.0
2023-08-28,490.0
2023-08-29,530.0
2023-08-30,570.0
2023-08-31,610.0
2023-09-01,470.0
2023-09-02,570.0
2023-09-03,600.0
2023-09-04,460.0
2023-09-05,560.0
2023-09-06,610.0
2023-09-07,610.0
2023-09-08,640.0
2023-09-09,600.0
2023-09-10,490.0
2023-09-11,580.0
2023-09-12,550.0
2023-09-13,590.0
2023-09-14,620.0
2023-09-15,470.0
2023-09-16,350.0
2023-09-17,530.0
2023-09-18,620.0
2023-09-19,520.0
2023-09-20,520.0
2023-09-21,490.0
2023-09-22,480.0
2023-09-23,510.0
2023-09-24,390.0
2023-09-25,420.0
2023-09-26,400.0
2023-09-27,320.0
2023-09-28,330.0
2023-09-29,340.0
2023-09-30,470.0
2023-10-01,440.0
2023-10-02,510.0
2023-10-03,360.0
2023-10-04,450.0
2023-10-05,580.0
2023-10-06,620.0
2023-10-07,610.0
2023-10-08,580.0
2023-10-09,350.0
2023-10-10,450.0
2023-10-11,820.0
2023-10-12,990.0
2023-10-13,1030.0
2023-10-14,970.0
2023-10-15,880.0
2023-10-16,860.0
2023-10-17,800.0
2023-10-18,620.0
2023-10-19,630.0
2023-10-20,1380.0
2023-10-21,790.0
2023-10-22,980.0
2023-10-23,870.0
2023-10-24,810.0
2023-10-25,800.0
2023-10-26,810.0
2023-10-27,560.0
2023-10-28,740.0
2023-10-29,660.0
2023-10-30,860.0
2023-10-31,870.0
2023-11-01,680.0
2023-11-02,930.0
2023-11-03,850.0
2023-11-04,830.0
2023-11-05,990.0
2023-11-06,880.0
2023-11-07,890.0
2023-11-08,780.0
2023-11-09,1080.0
2023-11-10,800.0
2023-11-11,1130.0
2023-11-12,1100.0
2023-11-13,800.0
2023-11-14,920.0
2023-11-15,820.0
2023-11-16,1330.0
2023-11-17,1140.0
2023-11-18,620.0
2023-11-19,1190.0
2023-11-20,640.0
2023-11-21,610.0
2023-11-22,850.0
2023-11-23,1130.0
2023-11-24,1100.0
2023-11-25,860.0
2023-11-26,1070.0
2023-11-27,750.0
2023-11-28,860.0
2023-11-29,1140.0
2023-11-30,1180.0
2023-12-01,1280.0
2023-12-02,1070.0
2023-12-03,930.0
2023-12-04,770.0
2023-12-05,1030.0
2023-12-06,1270.0
2023-12-07,1120.0
2023-12-08,990.0
2023-12-09,900.0
2023-12-10,700.0
2023-12-11,1030.0
2023-12-12,800.0
2023-12-13,850.0
2023-12-14,1300.0
2023-12-15,1090.0
2023-12-16,930.0
2023-12-17,1250.0
2023-12-18,1090.0
2023-12-19,1140.0
2023-12-20,890.0
2023-12-21,1080.0
2023-12-22,1080.0
2023-12-23,1040.0
2023-12-24,800.0
2023-12-25,760.0
2023-12-26,1010.0
2023-12-27,790.0
2023-12-28,920.0
2023-12-29,850.0
2023-12-30,750.0
2023-12-31,960.0
2024-01-01,780.0
2024-01-02,810.0
2024-01-03,680.0
2024-01-04,780.0
2024-01-05,790.0
2024-01-06,800.0
2024-01-07,860.0
2024-01-08,440.0
2024-01-09,820.0
2024-01-10,800.0
2024-01-11,830.0
2024-01-12,840.0
2024-01-13,700.0
2024-01-14,840.0
